ГОРОДА И УЪЗДЫ,Зимніе пожары (число),Зимніе погорѣвшіе дворы (число),Зимніе убытки (руб.),Весенніе пожары (число),Весенніе погорѣвшіе дворы (число),Весенніе убытки (руб.),Лѣтніе пожары (число),Лѣтніе погорѣвшіе дворы (число),Лѣтніе убытки (руб.),Осенніе пожары (число),Осенніе погорѣвшіе дворы (число),Осенніе убытки (руб.),ВСЕГО за годъ (число пожаровъ),ВСЕГО за годъ (погорѣвшихъ дворовъ),ВСЕГО за годъ (сумма убытковъ),Причина: дурное устройство печей,Причина: неосторожность,Причина: поджогъ,Причина: другія причины
Въ г. Красноярскѣ,16,2,10645,14,3,13340,5,—,830,8,4,2025,43,9,26840,10,15,6,12
Красноярскомъ уѣздѣ,38,30,1737,13,14,1216,19,12,4293,22,18,1996,92,74,9242,13,20,17,42
г. Енисейскѣ,3,—,—,1,4,15000,3,2,3000,3,—,30,10,6,18030,4,4,—,2
Енисейскомъ уѣздѣ,25,8,2298,19,8,930,15,1,639,13,5,502,72,22,4369,4,48,1,19
г. Канскѣ,—,—,—,2,1,106,—,—,—,—,—,—,2,1,106,—,—,2,—
Канскомъ уѣздѣ,50,34,4731.30,37,42,10311.35,42,39,3128,36,34,4289.55,165,149,22460.20,12,44,38,71
г. Ачинскѣ,—,—,—,—,—,—,1,1,40,3,6,2141,4,7,2181,—,—,—,4
Ачинскомъ уѣздѣ,16,17,771,7,7,585,14,15,3520,22,22,1535,59,61,6411,4,8,1,46
г. Минусинскѣ,1,1,600,—,—,—,2,2,650,1,1,75,4,4,1325,—,—,—,4
Минусинскомъ уѣздѣ,22,23,786,23,24,1222,36,63,32655,16,19,950,97,129,35613,13,18,6,60
Усинскомъ пограничномъ округѣ,2,2,54,—,—,—,—,—,—,3,3,500,5,5,554,—,5,—,—
Туруханскомъ краѣ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
ИТОГО по губерніи,173,117,21622.30,116,103,42710.35,137,135,48755,127,112,14043.55,553,467,127131.20,60,162,71,260
