Города и уѣзды,Дѣтоубійство новорожденныхъ,Смертоубійство,Всего случаевъ смертоубійства,Жертвы смертоубійства (м.),Жертвы смертоубійства (ж.),Жертвы смертоубійства (Итого м.),Жертвы смертоубійства (Итого ж.),Самоубійство (м.),Самоубійство (ж.),Скоропостижно отъ болѣзни (м.),Скоропостижно отъ болѣзни (ж.),Скоропостижно отъ пьянства (м.),Скоропостижно отъ пьянства (ж.),Скоропостижно отъ неизвѣстныхъ причинъ (м.),Скоропостижно отъ неизвѣстныхъ причинъ (ж.),Скоропостижно Итого (м.),Скоропостижно Итого (ж.),Найденныя мертвыя тѣла (м.),Найденныя мертвыя тѣла (ж.),Случайная смерть: Убито громомъ (м.),Случайная смерть: Убито громомъ (ж.),Случайная смерть: Задавлено и упало (м.),Случайная смерть: Задавлено и упало (ж.),Случайная смерть: Сгорѣло на пожарахъ (м.),Случайная смерть: Сгорѣло на пожарахъ (ж.),Случайная смерть: Умерло отъ угара (м.),Случайная смерть: Умерло отъ угара (ж.),Случайная смерть: Замерзло (м.),Случайная смерть: Замерзло (ж.),Случайная смерть: Утонуло (м.),Случайная смерть: Утонуло (ж.),Случайная смерть: Укушено звѣрьми (м.),Случайная смерть: Укушено звѣрьми (ж.),Случайная смерть: Отъ др. случайностей (м.),Случайная смерть: Отъ др. случайностей (ж.),Случайная смерть Итого (м.),Случайная смерть Итого (ж.),Всего умерло отъ насильственной смерти и случайностей (м.),Всего умерло отъ насильственной смерти и случайностей (ж.)
Въ г. Красноярскѣ,—,28,28,20,8,20,8,5,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,2,—,3,—,—,—,26,5,32,5,57,15
Красноярскомъ уѣздѣ,1,21,22,16,6,16,6,4,2,5,1,2,—,9,—,16,1,8,—,1,—,2,—,1,—,—,—,2,—,7,1,1,—,3,—,15,1,59,10
г. Енисейскѣ,—,1,1,1,—,1,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,5,—,6,—,9,—
Енисейскомъ уѣздѣ,—,6,6,4,2,4,2,1,1,2,1,1,1,5,—,8,2,3,—,1,—,2,—,1,—,—,—,—,—,5,1,—,—,8,—,16,1,32,6
г. Канскѣ,—,3,3,3,—,3,—,1,—,—,—,—,—,—,—,—,—,1,—,—,—,2,—,1,—,—,—,1,—,—,—,—,—,5,—,6,—,11,—
Канскомъ уѣздѣ,—,19,19,16,3,16,3,4,—,2,1,—,2,1,2,1,10,3,—,—,3,—,2,—,1,1,3,1,6,4,—,—,2,—,17,6,49,13
г. Ачинскѣ,1,7,8,7,1,7,1,2,—,—,—,1,—,1,—,2,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,1,2,2,2,13,3
Ачинскомъ уѣздѣ,1,21,22,19,3,19,3,1,2,10,2,4,—,12,1,26,3,7,1,—,1,—,2,—,1,—,2,—,12,7,1,—,12,—,28,7,81,16
г. Минусинскѣ,—,1,1,1,—,1,—,2,—,5,1,5,1,5,1,10,2,—,—,—,—,—,—,—,—,—,—,—,—,2,1,—,—,2,1,10,2
Минусинскомъ уѣздѣ,3,12,15,14,1,14,1,6,2,9,—,4,1,13,5,26,6,6,—,—,—,7,—,1,1,2,—,1,—,13,1,1,—,15,7,39,9,91,18
г. Туруханскѣ и краѣ,—,—,—,—,—,—,—,—,—,1,—,1,1,2,1,2,2,3,—,—,—,—,—,—,—,—,—,—,—,—,2,2,3
Усинскомъ погр. округѣ,—,—,—,—,—,—,—,—,—,3,—,3,—,—,—,—,—,—,1,—,2,—,—,—,—,—,3,2,6,2
На частныхъ золотыхъ промыслахъ,—,12,12,9,3,9,3,1,1,5,1,1,1,7,—,13,2,—,—,—,—,9,—,2,—,—,—,2,—,3,1,1,—,1,—,16,1,39,7
Итого,6,131,137,110,27,110,27,29,10,31,5,16,4,56,8,103,17,35,4,1,—,26,—,7,1,6,1,11,2,51,19,2,—,78,14,182,37,459,95
