Наименованіе учебнаго заведенія,Въ губернскомъ городѣ (заведеній),Въ губернскомъ городѣ (учащихся муж.),Въ губернскомъ городѣ (учащихся жен.),Въ уѣздныхъ городахъ (заведеній),Въ уѣздныхъ городахъ (учащихся муж.),Въ уѣздныхъ городахъ (учащихся жен.),Въ уѣздахъ (заведеній),Въ уѣздахъ (учащихся муж.),Въ уѣздахъ (учащихся жен.),Всего въ губерніи (заведеній),Всего въ губерніи (учащихся муж.),Всего въ губерніи (учащихся жен.),Всего въ губерніи (учащихся обоего пола)
Мужская классическая гимназія,1,320,—,—,—,—,—,—,—,1,320,—,320
Мужская шестиклассная прогимназія,—,—,—,1,111,—,—,—,—,1,111,—,111
Женская гимназія,1,—,438,1,—,157,—,—,—,2,—,595,595
Женская прогимназія,—,—,—,2,—,316,—,—,—,2,—,316,316
Учительская семинарія,1,67,—,—,—,—,—,—,—,1,67,—,67
При ней начальная школа,1,51,—,—,—,—,—,—,—,1,51,—,51
Духовная семинарія,1,100,—,—,—,—,—,—,—,1,100,—,100
Техническое желѣзнодорожное училище,1,81,—,—,—,—,—,—,—,1,81,—,81
Лѣсная школа,1,—,—,—,—,—,1,20,—,1,20,—,20
Городскія 3-хъ классныя училища,1,200,—,3,453,—,—,—,—,4,653,—,653
Городскія 2-хъ классныя училища,—,—,—,1,130,—,—,—,—,1,130,—,130
Городскія приходскія училища,—,—,—,5,204,8,—,—,—,5,204,8,212
Начальныя 2-хъ классныя училища,2,318,87,1,46,150,2,130,24,5,494,261,755
Начальныя одноклассныя училища,10,403,134,11,466,354,16,430,222,37,1299,710,2009
Духовное училище,1,152,—,—,—,—,—,—,—,1,152,—,152
Епархіальное женское училище,1,—,102,—,—,—,—,—,—,1,—,102,102
Начальное женское училище,1,—,50,2,—,164,—,—,—,3,—,214,214
Владимірскій дѣтскій пріютъ,1,—,46,—,—,—,—,—,—,1,—,46,46
Щеголевское ремесленное 2-хъ классное училище,1,64,—,—,—,—,—,—,—,1,64,—,64
Сельскія приходскія одноклассныя училища,—,—,—,—,—,—,98,2020,1211,98,2020,1211,3231
Желѣзнодорожныя сельскія училища,—,—,—,—,—,—,2,32,84,2,32,84,116
Церковно-приходскія школы,—,—,—,—,—,—,196,4162,2238,196,4162,2238,6400
Школы грамотности,Свѣдѣній,не,доставлено,————,————,————,————,————,————,————,————,————,————
Пріютъ арестантскихъ дѣтей,1,15,4,—,—,—,—,—,—,1,15,4,19
Александровскій домъ призрѣнія бѣдныхъ дѣтей,—,—,—,1,22,—,—,—,—,1,22,—,22
Училище при сиропитательномъ домѣ Щеголевой,1,—,9,—,—,—,—,—,—,1,—,9,9
Частные школы,1,—,19,2,14,37,—,—,—,3,14,56,70
Еврейское училище,—,—,—,1,22,—,—,—,—,1,22,—,22
ИТОГО,27,1771,889,31,1468,1186,315,6794,3779,373,10033,5854,15887
