Сословіе / Группа,Красноярск г. (М),Красноярск г. (Ж),Красноярский у. (М),Красноярский у. (Ж),Енисейск г. (М),Енисейск г. (Ж),Енисейский у. (М),Енисейский у. (Ж),Канск г. (М),Канск г. (Ж),Канский у. (М),Канский у. (Ж),Ачинск г. (М),Ачинск г. (Ж),Ачинский у. (М),Ачинский у. (Ж),Минусинск г. (М),Минусинск г. (Ж),Минусинский у. (М),Минусинский у. (Ж),Туруханск г. (М),Туруханск г. (Ж),Туруханский край (М),Туруханский край (Ж),Усинский окр. (М),Усинский окр. (Ж)
I. Дворянъ: Потомственныхъ,232,159,59,51,55,44,11,17,6,8,73,75,44,34,11,8,51,46,—,—,—,—,—,—,3,7
I. Дворянъ: Личныхъ,820,740,18,24,27,20,19,22,6,4,32,26,29,37,20,23,45,32,—,—,1,3,3,5
II. Духовенства православнаго: а) монашествующаго,40,—,28,36,11,48,—,—,—,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—
II. Духовенства православнаго: б) бѣлаго,61,—,85,—,18,—,27,—,4,—,44,—,6,—,39,—,124,—,4,—,7,—,2,—,2,—
Другихъ исповѣданій,4,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,4,—,—,—,—,—,—,—,—,—
Церковнослужителей и семействъ духовенства,67,61,58,256,29,30,54,97,3,7,96,137,6,13,130,138,116,275,—,4,——,11,1,1
Воспитанниковъ духовнаго училища,260,76,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
III. Городскихъ сословій: Почетныхъ гражданъ потомств.,45,65,4,5,32,44,14,15,24,18,5,10,23,17,4,—,13,14,—,—,—,—,—,—,—,—
III. Городскихъ сословій: Почетныхъ гражданъ личныхъ,88,163,3,5,28,46,5,1,25,28,—,—,30,37,12,16,26,30,6,10,7,7,—,—,1,—
III. Городскихъ сословій: Купцовъ,152,195,2,2,58,60,6,7,51,47,24,19,47,43,22,19,18,24,3,3,—,—,—,—,3,3
III. Городскихъ сословій: Мѣщанъ,7270,7009,318,310,2418,2356,320,296,3047,2602,304,26,2253,2556,310,316,2135,2009,684,680,19,19,87,89,78,48
IV. Сельскихъ сословій: Крестьянъ,5184,4050,27974,27870,1649,1943,21278,21493,509,441,50635,482,451,604,45682,47429,73157,73515,15,10,1460,1330,1118,1080
V. Военныхъ: Регулярныхъ войскъ,1194,—,—,—,132,—,—,—,142,—,—,—,211,—,157,—,134,—,—,—,—,—,—,—,—
V. Военныхъ: Иррегулярныхъ войскъ,177,—,73,—,66,—,14,—,—,—,84,—,16,—,182,—,1100,—,29,—,30,—,19,—,—,—
V. Военныхъ: Находящихся въ отпускѣ,—,—,—,—,—,—,—,—,—,—,4,—,—,—,280,—,—,—,—,—,—,—,—,—,—
V. Военныхъ: Состоящихъ въ запасѣ арміи,260,—,1187,—,98,—,670,—,34,—,2227,—,96,—,1852,—,2331,—,2,—,65,—,—,—
V. Военныхъ: Отставныхъ нижнихъ чиновъ...,200,220,625,1125,48,238,225,334,82,100,939,178,49,149,688,2304,2229,3995,—,26,20,20,8,27
Нижнихъ чиновъ на казенномъ содержаніи,16,—,4,—,—,—,—,—,—,—,10,—,2,—,4,—,8,—,—,—,—,—,—,—,—,—
VI. Разночинцевъ,2555,2580,593,520,8,4,10,11,177,122,150,8,88,70,29,27,475,481,—,—,—,—,—,—,—,—
VII. Иностранныхъ подданныхъ,22,12,—,—,6,2,—,—,—,—,1,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—
VIII. Инородцевъ,5,4,65,54,4,—,431,405,—,—,135,153,13,9,4126,3830,16498,16057,13,6,4000,3625,100,75,—,—
IX. Ссыльныхъ всѣхъ категорій,1648,1282,13136,2444,174,63,6169,266,22,17,11457,2094,238,27,7028,811,5176,1130,3,2,284,6,102,7
Пришедшихъ съ ссыльными по волѣ,1725,1660,2250,2426,20,16,721,1301,—,—,—,—,19,23,1755,1934,392,706,—,2,16,8,——,—
Итого,22025,18276,46485,35128,4882,4914,29977,24265,4132,3394,66220,52854,3622,3619,62331,56855,2357,2092,102447,96985,91,79,5897,5099,1502,1253
