Сословіе / Группа,Енисейский окр. Северная сист. (М),Енисейский окр. Северная сист. (Ж),Енисейский окр. Южная сист. (М),Енисейский окр. Южная сист. (Ж),Красноярский окр. (М),Красноярский окр. (Ж),Канский окр. (М),Канский окр. (Ж),Ачинский окр. (М),Ачинский окр. (Ж),Минусинский окр. (М),Минусинский окр. (Ж),Усинский погр. окр. (М),Усинский погр. окр. (Ж),Итого въ городахъ (М),Итого въ городахъ (Ж),Итого въ округахъ (М),Итого въ округахъ (Ж),Всего въ губерніи (М),Всего въ губерніи (Ж)
I. Дворянъ: Потомственныхъ,13,4,7,5,—,—,1,—,1,1,9,6,—,—,337,245,239,220,576,465
I. Дворянъ: Личныхъ,—,—,6,—,—,—,3,4,—,—,—,—,—,—,882,801,147,139,1029,940
II. Духовенства: а) монашествующаго,—,—,—,—,—,—,—,—,—,—,—,—,—,—,51,48,33,36,84,84
II. Духовенства: б) бѣлаго,2,—,1,—,—,—,—,—,—,—,—,—,—,—,97,—,331,—,428,—
Другихъ исповѣданій,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5,—,4,—,9,—
Церковнослужителей...,—,—,—,—,—,—,—,—,—,—,—,—,—,—,120,125,455,915,575,1040
Воспитанниковъ духовнаго уч.,—,—,—,—,—,—,—,—,—,—,—,—,—,—,260,76,—,—,260,76
Почетныхъ гражданъ потомств.,15,6,9,3,—,—,—,—,—,—,3,3,—,—,124,144,67,56,191,200
Почетныхъ гражданъ личныхъ,—,—,4,1,—,—,—,—,1,—,1,—,—,—,177,284,59,60,236,344
Купцовъ,4,2,1,1,—,—,—,—,2,4,1,2,—,—,377,418,83,83,460,501
Мѣщанъ,103,12,468,101,13,5,20,2,163,57,211,97,42,13,17142,16551,3121,2295,20263,18846
IV. Сельскихъ сословій: Крестьянъ,1458,373,2677,723,55,28,251,99,627,226,1210,624,174,99,7808,7048,227756,223165,235564,230213
V. Военныхъ: Регулярныхъ войскъ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1813,—,157,—,1970,—
V. Военныхъ: Иррегулярныхъ войскъ,28,—,25,—,2,—,10,—,11,—,39,—,2,—,288,—,1619,—,1907,—
Находящихся въ отпускѣ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,284,—,284,—
Состоящихъ въ запасѣ арміи,98,—,75,—,1,—,14,—,——,—,—,13,—,490,—,8533,—,9023,—
Отставныхъ нижнихъ чиновъ...,—,—,—,4,—,—,3,2,—,—,—,—,—,—,379,733,4723,9598,5102,10331
Нижнихъ чиновъ на каз. сод.,—,—,—,—,—,—,—,—,—,—,—,—,—,—,18,—,26,—,44,—
VI. Разночинцевъ,7,2,66,—,—,—,—,—,7,3,8,2,—,—,2828,2776,1345,1054,4173,3830
VII. Иностранныхъ подданныхъ,1,—,—,—,—,—,—,—,—,—,—,—,—,—,29,14,2,—,31,14
VIII. Инородцевъ,12,9,59,4,—,—,—,—,74,32,54,22,28,17,35,19,25582,24283,25617,24302
IX. Ссыльныхъ всѣхъ категорій,911,9,831,83,4,—,152,12,285,32,395,77,98,6,2085,1391,46028,6977,48113,8368
Пришедшихъ съ ссыльными,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1764,1701,5134,6375,6898,8076
Итого,2652,417,4229,925,75,33,454,119,1171,355,1931,833,357,135,37109,32374,325728,275256,362837,307630
