Мѣсяцы,Законнорожденныхъ (м.п.),Законнорожденныхъ (ж.п.),Незаконнорожденныхъ (м.п.),Незаконнорожденныхъ (ж.п.),Всего рожденій безъ мертворожденныхъ (м.п.),Всего рожденій безъ мертворожденныхъ (ж.п.),Въ томъ числѣ: Двойней (м.п.),Въ томъ числѣ: Двойней (ж.п.),Въ томъ числѣ: Тройней (м.п.),Въ томъ числѣ: Тройней (ж.п.),Въ томъ числѣ: Четверней (м.п.),Въ томъ числѣ: Четверней (ж.п.),Въ томъ числѣ: Подкидышей (м.п.),Въ томъ числѣ: Подкидышей (ж.п.),Перешедшихъ въ православіе (м.п.),Перешедшихъ въ православіе (ж.п.)
Январь,1459,1403,177,173,1636,1576,31,33,—,—,—,—,—,1,6,9
Февраль,1272,1287,116,102,1388,1389,19,41,5,1,—,—,—,—,5,5
Март,1329,1299,174,154,1503,1453,27,49,—,—,—,—,1,—,6,11
Апрель,1337,1292,104,92,1441,1384,45,33,—,—,—,—,—,1,3,3
Май,1262,1191,117,118,1379,1309,57,35,—,—,—,—,—,—,7,1
Июнь,1534,1278,130,131,1664,1409,45,33,—,—,—,—,1,—,30,24
Июль,1713,1524,140,137,1853,1661,51,43,—,—,—,—,1,—,20,17
Август,1457,1461,144,139,1601,1600,42,42,—,—,—,—,—,—,2,2
Сентябрь,1424,1298,129,100,1553,1398,40,34,—,—,—,—,—,1,3,2
Октябрь,1539,1449,143,152,1682,1601,26,28,—,—,—,—,—,2,5,—
Ноябрь,1286,1300,143,160,1429,1460,28,26,—,—,—,—,1,1,11,5
Декабрь,1398,1334,147,134,1545,1468,23,37,—,—,—,—,—,1,4,3
Итого,17010,16116,1664,1592,18674,17708,434,434,5,1,—,—,4,7,102,82
