# Таблица 28 (Изображения 58–63): Распределение смертности населения по возрастам и месяцам в городах
Возрастъ,Январь (М),Январь (Ж),Февраль (М),Февраль (Ж),Март (М),Март (Ж),Апрель (М),Апрель (Ж),Май (М),Май (Ж),Июнь (М),Июнь (Ж),Июль (М),Июль (Ж),Август (М),Август (Ж),Сентябрь (М),Сентябрь (Ж),Октябрь (М),Октябрь (Ж),Ноябрь (М),Ноябрь (Ж),Декабрь (М),Декабрь (Ж),Всего за годъ (М),Всего за годъ (Ж),ИТОГО
До 1 мѣсяца,5,5,8,10,10,7,6,4,6,5,12,10,22,14,8,12,7,9,11,7,11,6,10,12,111,101,212
Отъ 1 до 3 мѣсяцевъ,9,9,5,13,12,4,8,7,6,5,12,15,19,16,21,15,7,4,4,2,7,5,6,2,116,97,213
3 - 6,12,9,9,9,9,8,6,8,9,10,5,9,25,21,6,12,4,7,3,6,10,5,4,8,102,102,204
6 - 1 года,7,7,7,10,14,9,13,10,11,13,18,11,22,22,12,18,6,2,6,2,7,5,10,2,133,111,244
1 - 2 лѣтъ,8,5,7,9,9,13,9,8,4,7,9,9,17,9,11,11,8,6,8,4,12,7,11,4,107,92,199
2 - 3,5,7,9,6,9,7,5,8,10,2,2,5,—,4,4,—,2,5,3,3,5,5,4,2,52,56,108
3 - 4,4,—,4,8,5,5,6,4,4,2,5,5,2,2,—,2,1,1,1,—,4,2,2,1,38,32,70
4 - 5,4,4,3,3,4,1,4,3,3,—,2,4,1,—,1,—,1,1,—,3,1,4,—,3,23,26,49
5 - 6,2,3,3,1,2,1,2,—,1,—,2,5,3,2,1,—,—,—,2,1,2,—,—,—,20,13,33
6 - 7,1,—,—,2,1,1,—,2,1,3,1,—,—,—,————,——,————,——,————,——,5,16,21
7 - 8,—,1,—,1,2,—,1,2,—,1,1,—,—,2,————,——,————,——,1,1,8,10,18
8 - 9,1,1,—,1,—,2,—,1,—,3,—,—,1,—,————,——,————,——,—,1,2,8,10
9 - 10,—,1,1,—,—,—,1,—,1,—,1,1,—,—,————,——,————,——,1,1,5,3,8
10 - 11,1,—,————,——,————,——,1,—,1,—,1,—,1,—,————,——,————,——,—,—,3,3,6
11 - 12,2,—,————,——,1,2,—,—,1,—,1,—,—,—,————,——,————,——,2,1,6,4,10
12 - 13,————,——,1,2,2,1,1,—,1,—,————,——,1,—,————,——,————,——,2,—,7,4,11
13 - 14,————,——,————,——,2,1,————,——,————,——,————,——,1,—,————,——,————,——,1,—,4,2,6
14 - 15,————,——,————,——,————,——,————,——,————,——,————,——,—,2,————,——,————,——,—,1,4,4,8
15 - 16,————,——,————,——,1,—,1,—,1,—,————,——,2,3,————,——,————,——,1,—,5,7,12
16 - 17,————,——,1,1,1,—,1,1,1,—,————,——,—,1,————,——,————,——,1,—,5,6,11
17 - 18,————,——,————,——,————,——,————,——,————,——,————,——,2,4,————,——,————,——,—,2,2,4,6
18 - 19,————,——,————,——,————,——,————,——,————,——,2,1,2,1,————,——,————,——,2,2,2,4,6
19 - 20,————,——,————,——,2,1,1,1,1,—,1,—,1,—,————,——,2,1,1,1,2,2,11,7,18
20 - 21,2,—,————,——,————,——,2,—,2,1,1,—,————,——,————,——,1,—,1,—,8,7,15
21 - 22,1,—,————,——,2,—,1,—,1,—,1,—,————,——,————,——,2,1,1,—,8,5,13
22 - 23,2,2,————,——,————,——,1,—,————,——,2,—,1,—,————,——,1,—,1,1,8,5,13
23 - 24,2,1,2,1,1,3,1,—,1,2,2,1,1,—,————,——,3,2,1,—,1,—,10,9,19
