# Таблица 29 (Изображения 64–69): Распределение смертности населения по возрастам и месяцам в уездах
Возрастъ,Январь (М),Январь (Ж),Февраль (М),Февраль (Ж),Март (М),Март (Ж),Апрель (М),Апрель (Ж),Май (М),Май (Ж),Июнь (М),Июнь (Ж),Июль (М),Июль (Ж),Август (М),Август (Ж),Сентябрь (М),Сентябрь (Ж),Октябрь (М),Октябрь (Ж),Ноябрь (М),Ноябрь (Ж),Декабрь (М),Декабрь (Ж),Всего за годъ (М),Всего за годъ (Ж),ИТОГО
До 1 мѣсяца,95,91,71,72,81,75,70,50,71,49,125,77,286,211,282,269,149,130,92,65,70,77,79,63,1471,1229,2700
Отъ 1 до 3 мѣсяцевъ,86,88,82,64,102,54,58,58,55,65,171,103,300,276,285,270,168,138,91,91,73,64,66,55,1532,1326,2858
3 - 6,81,75,88,67,86,84,73,51,84,61,92,108,266,203,177,165,83,95,65,52,64,39,76,53,1235,1053,2288
6 - 1 года,124,120,105,95,129,111,116,109,112,93,103,98,184,170,179,172,115,104,57,57,46,62,71,78,1341,1269,2610
1 - 2 лѣтъ,87,92,89,93,117,101,83,90,101,88,83,64,71,76,71,56,69,67,55,53,57,51,59,52,942,883,1825
2 - 3,49,62,52,56,66,65,45,60,51,61,34,41,32,35,41,26,26,30,38,25,37,33,27,25,498,519,1017
3 - 4,36,34,38,44,52,37,45,44,40,31,32,28,25,26,17,23,26,16,18,24,25,24,18,27,372,358,730
4 - 5,29,30,30,23,33,36,27,24,20,34,18,20,15,14,16,17,15,11,14,13,18,20,13,12,248,254,502
5 - 6,29,16,20,11,24,19,22,23,16,25,14,18,8,14,9,13,13,11,12,16,10,12,16,17,193,195,388
6 - 7,16,20,15,7,15,15,17,19,9,11,14,13,6,11,3,6,13,5,12,11,6,8,10,9,136,135,271
7 - 8,2,6,12,6,9,4,4,10,10,7,6,8,4,5,2,6,7,4,1,4,4,5,4,3,65,68,133
8 - 9,4,4,9,6,5,2,3,1,3,7,11,3,6,2,7,1,2,6,3,2,4,1,3,3,60,38,98
9 - 10,2,7,4,4,5,4,3,6,2,5,2,9,5,1,—,4,2,2,1,2,1,3,3,3,33,51,84
10 - 11,3,5,2,3,1,5,3,5,4,6,1,5,2,3,4,3,1,1,2,1,1,2,2,1,26,40,66
11 - 12,6,2,4,5,6,6,5,4,6,2,3,7,3,5,1,2,—,4,2,1,1,6,2,2,41,43,84
12 - 13,5,4,3,4,1,1,5,2,5,1,3,2,————,——,————,——,————,——,————,——,————,——,25,27,52
13 - 14,3,3,2,1,2,3,2,3,1,5,7,3,2,5,1,————,4,2,3,1,—,2,————,——,30,26,56
14 - 15,2,3,2,3,————,4,1,————,————,2,2,2,2,2,1,3,————,3,5,1,2,4,1,6,2,2,19,33,52
15 - 16,1,3,4,4,————,5,3,2,2,2,2,3,2,————,2,4,1,2,2,4,1,————,1,6,2,2,19,30,49
16 - 17,4,7,4,————,1,2,4,4,2,————,————,2,4,1,————,2,2,5,————,2,1,————,1,2,2,2,25,25,50
17 - 18,5,2,1,5,————,5,3,3,————,5,4,1,2,2,2,3,4,————,————,5,————,5,————,————,2,2,27,38,65
18 - 19,4,2,2,3,3,4,3,5,1,1,3,3,5,1,1,5,————,————,————,————,4,3,3,3,25,34,59
