# Таблица 30 (Изображения 70–75 объединены): Сведения о браках и возрасте вступающих в брак
Категорія населения / Мѣсяцъ,Браковъ (Всего),Холостыхъ съ дѣвицами,Холостыхъ со вдовами,Вдовцовъ съ дѣвицами,Вдовцовъ со вдовами,Женихи: Моложе 21, невѣсты: Моложе 21,Женихи: 21-25, невѣсты: 21-25,Женихи: 26-30, невѣсты: 26-30,Женихи: 31-35, невѣсты: 31-35,Женихи: 36-40, невѣсты: 36-40,Женихи: 41-45, невѣсты: 41-45,Женихи: 46-50, невѣсты: 46-50,Женихи: 51 и выше, невѣсты: 51 и выше
ВЪ ГОРОДАХЪ:,,,,,,,,,,,,,,,,,
Январь,125,92,13,13,7,28,7,31,35,40,10,14,6,5,5,4,1,—,1,3,—
Февраль,31,28,—,3,—,8,*,8,10,10,2,4,1,1,—,—,—,—,—,—,—
Март,4,2,1,1,—,1,*,————,1,1,————,2,————,————,——,————,——,————,——,————,——
Апрель,40,34,3,3,—,7,*,15,12,10,7,5,1,2,————,1,————,————,——,————,——
Май,40,33,1,5,1,5,5,15,9,13,4,2,————,2,1,1,1,————,1,————,——
Июнь,10,8,—,2,—,————,*,1,4,3,————,5,1,————,————,1,————,————,——,————,——
Июль,64,47,4,10,3,8,29,12,19,22,7,8,5,5,2,1,2,3,————,5,————
Август,21,16,1,3,1,4,*,2,4,10,1,————,1,1,————,2,1,————,1,2,————
Сентябрь,39,31,1,5,2,7,22,9,9,12,5,7,1,2,————,1,————,————,1,————,——
Октябрь,64,51,4,7,2,11,40,16,16,26,3,3,2,5,1,2,1,————,————,1,————
Ноябрь,54,43,6,4,1,5,28,13,14,23,9,7,————,3,————,1,1,1,————,1,————
Декабрь,4,3,—,—,1,1,*,2,1,1,————,————,————,————,——,————,——,————,——,————,——
Итого въ городахъ,496,388,34,56,18,85,212,124,134,171,48,57,18,26,9,11,9,6,6,16,————
ВЪ УЪЗДАХЪ:,,,,,,,,,,,,,,,,,
Январь,2171,1944,40,119,68,918,1751,801,461,276,73,70,27,49,21,29,7,21,5,7,2
Февраль,230,193,11,15,11,86,51,70,52,46,11,11,6,10,6,2,1,2,————,3,1
Март,2,2,—,—,—,1,*,1,1,————,————,————,————,————,————,——,————,——,————,——,————,——
Апрель,365,292,9,38,26,105,205,122,91,69,32,25,18,24,11,9,5,7,3,4,————
Май,354,283,12,38,21,97,217,120,88,77,26,28,8,16,7,9,4,4,1,3,3
Июнь,35,25,1,5,4,9,18,12,11,4,2,5,2,2,————,2,2,1,————,————,——
Июль,303,217,7,49,30,83,112,86,71,62,35,24,7,19,11,13,4,11,2,5,1
Август,50,40,2,2,6,13,19,18,12,9,2,3,1,5,3,————,2,1,1,1,————
Сентябрь,109,86,7,8,8,19,*,31,20,35,13,9,5,6,1,3,2,3,1,3,2
Октябрь,532,453,19,45,15,197,377,159,105,111,23,25,7,16,8,12,7,8,2,4,3
Ноябрь,563,481,22,41,19,222,404,158,115,118,23,29,6,16,9,8,2,5,————,7,1
Декабрь,6,6,—,—,—,1,*,3,————,2,————,————,————,————,——,————,——,————,——,————,——
Итого въ уѣздахъ,4720,4022,130,360,208,1751,3220,1581,1027,809,240,229,87,163,77,87,36,63,20,37,13
ВСЕГО ВЪ ГУБЕРНІИ:,,,,,,,,,,,,,,,,,
Январь,2296,2036,53,132,75,946,1642,832,496,316,83,84,33,54,26,33,8,21,6,10,2
Февраль,261,221,11,18,11,94,169,78,62,56,13,15,7,11,6,2,1,2,2,3,1
Март,6,4,1,1,—,2,4,1,2,1,————,2,————,————,————,————,——,————,——,————,——
Апрель,405,326,12,41,26,112,224,137,103,79,39,30,19,26,11,9,6,8,3,4,————
Май,394,316,13,43,22,102,242,135,97,90,30,30,8,18,8,10,5,4,1,5,3
Июнь,45,33,1,7,4,9,23,13,15,7,2,10,3,2,————,2,2,2,1,————,————
Июль,367,264,11,59,33,91,201,98,90,84,42,32,12,24,13,14,6,14,2,10,1
Август,71,56,3,5,7,17,42,20,16,19,3,3,2,6,3,2,2,1,2,3,————
Сентябрь,148,117,8,13,10,26,87,40,29,47,18,16,6,8,1,3,3,3,2,5,2
Октябрь,596,504,23,52,17,208,417,175,121,137,26,28,9,21,9,14,8,8,3,5,3
Ноябрь,617,524,28,45,20,227,432,171,129,141,32,36,6,19,9,9,3,6,5,8,1
Декабрь,10,9,—,—,1,2,9,5,1,3,————,————,————,————,——,————,——,————,——,————,——
Итого по губерніи,5216,4410,164,416,226,1836,3492,1705,1161,980,288,286,105,189,86,98,45,69,26,53,13
