НАИМЕНОВАНІЕ ЗАВОДОВЪ,Число сутокъ въ теченіе которыхъ дѣйствовалъ заводъ,Число заторовъ сдѣланныхъ ежедневно на каждомъ заводѣ,Число пудовъ употребленныхъ въ ежедневный заторъ,Средній выходъ изъ пуда припасовъ употребленныхъ въ суточный заторъ (въ %),Средній выходъ изъ пуда припасовъ употребленныхъ въ суточный заторъ (въ ведр.)
Ильинскій № 6 винокурен. заводъ,119,1,255,40.50 %,1.01
Каменскій,68,1,318,41.40 %,1.04
Васильевскій № 25,149,1,237,40.6,1.02
Ивановскій,113,4,,,
№ 5,30,3,150,39.58,0.99
Александровскій № 9,213,1,500,41.64,1.04
Казанскій № 4,271,2,230,40.65,1.02
Владимірскій № 22,211,4,133 п. 20 ф.,41.17,1.03
Леонидовскій № 24,68,2,244,41.6,1.04
Михайловскій № 26,188,1,210,39.6,0.99
