# Таблица 49 (Изображение 98): Сведения о фабриках и заведениях (левая часть)
Наименованіе фабрикъ и заводовъ,Красноярск город (число),Красноярск город (сумма),Красноярск город (рабочих),Красноярский уезд (число),Красноярский уезд (сумма),Красноярский уезд (рабочих),Енисейск город (число),Енисейск город (сумма),Енисейск город (рабочих),Енисейский уезд (число),Енисейский уезд (сумма),Енисейский уезд (рабочих),Канск город (число),Канск город (сумма),Канск город (рабочих)
I. Обдѣлывающіе животные продукты:,,,,,,,,,,,,,,,
Салотопенные свѣчные и мыловаренные,6,20000,18,—,—,—,—,—,—,—,—,—,3,900,8
Кожевенные,7,30100,50,14,1222,19,4,22416,36,4,615,6,5,11000,20
Воскобойные и бѣлильные,1,10000,15,—,—,—,1,2405,6,—,—,—,—,—,—
II. Обдѣлывающіе растительные продукты:,,,,,,,,,,,,,,,
Крупчаточные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Маслобойные,—,—,—,—,—,—,2,1500,12,1,15,1,1,200,2
Канатные и веревочные,—,—,—,—,—,—,1,470,3,—,—,—,—,—,—
Винокуренные,—,—,—,1,250000,50,1,46530,27,1,52282,23,—,—,—
Водочные,—,—,—,—,—,—,1,14000,4,—,—,—,—,—,—
Пиво-медоваренные и квасоваренные,2,80000,20,—,—,—,1,2600,6,—,—,—,—,—,—
Лѣсопильные,4,40000,75,—,—,—,—,—,—,—,—,—,—,—,—
III. Обдѣлывающіе ископаемые продукты:,,,,,,,,,,,,,,,
Чугунно-литейные желѣзо-дѣлательные и слесарные,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Стеклодѣлательные,—,—,—,1,60000,110,—,—,—,—,—,—,—,—,—
Колокольные,—,—,—,4,550,8,—,—,—,—,—,—,—,—,—
Кирпичные,—,—,—,—,—,—,9,3960,19,—,—,—,10,1200,30
Gончарные,—,—,—,—,—,—,—,—,—,29,900,52,3,300,6
Солеваренные,—,—,—,—,—,—,—,—,—,1,Неизвѣстна,—,—,—,—
Смольные и скипидарные,—,—,—,4,600,11,—,—,—,—,—,—,—,—,—
IV. Смѣшанныхъ продуктовъ:,,,,,,,,,,,,,,,
Экипажные и кузнечные,48,51000,147,—,—,—,—,—,—,—,—,—,—,—,—
Итого,68,231100,325,24,312372,198,20,93881,113,36,53812,82,22,13600,66
