ПО УЪЗДАМЪ,Красноярск,Минусинск,По тому и другому
Проложено верстъ рамочныхъ линій,166,280,446
Проложено верстъ повѣрочныхъ линій для повѣрки старыхъ плановъ,191,16,207
Проложено верстъ разныхъ граничныхъ линій (безъ окончательн. отгран.),1581,1183,2764
При этомъ измѣрено угловъ,1420,1196,2616
Проложено верстъ при окончательномъ отграниченіи,350,158,508
При этомъ поставлено столбовъ,296,235,531
" " выкопано ямъ,305,253,558
Снято десятинъ въ земельныхъ надѣлахъ подробно,63674,103050,166724
Снято десятинъ въ лѣсныхъ надѣлахъ подробно,17786,12794,30580
Снято десятинъ въ земельныхъ надѣлахъ неподробно,28491,28330,56821
Повѣрено у техниковъ работъ на пространствѣ десятинъ,102257,63896,166153
