# Таблица 50 (Изображение 99): Сведения о фабриках и заведениях (правая часть)
Канский уезд (число),Канский уезд (сумма),Канский уезд (рабочих),Ачинск город (число),Ачинск город (сумма),Ачинск город (рабочих),Ачинский уезд (число),Ачинский уезд (сумма),Ачинский уезд (рабочих),Минусинск город (число),Минусинск город (сумма),Минусинск город (рабочих),Минусинский уезд (число),Минусинский уезд (сумма),Минусинский уезд (рабочих),Всего в губернии (число),Всего в губернии (сумма),Всего в губернии (рабочих)
—,—,—,1,1250,2,2,2350,1,4,35000,12,17,3610,30,33,63110,71
14,6335,25,4,15300,20,32,19455,46,6,20000,30,57,20472,118,147,146915,370
—,—,—,—,—,—,—,—,—,1,400,2,—,—,—,3,12805,23
—,—,—,—,—,—,—,—,—,—,—,—,1,22040,10,1,22040,10
9,605,11,2,1275,8,25,2930,30,4,1600,8,83,6212,130,127,14337,202
6,1871,12,6,4980,14,6,4980,14,6,15000,30,2,220,3,21,22541,62
1,60000,27,—,—,—,2,525544,72,—,—,—,3,620253,80,9,1554609,279
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,14000,4
—,—,—,1,10000,3,—,—,—,1,20000,6,—,—,—,5,112600,35
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,40000,75
—,—,—,—,—,—,—,—,—,—,—,—,1,12466,295,1,12466,295
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,60000,110
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,550,8
5,197,5,29,6151,84,9,1150,29,19,11500,50,4,700,10,85,24858,227
3,300,6,3,331,3,—,—,—,7,700,10,4,700,10,42,2231,71
1,35000,40,—,—,—,—,—,—,—,—,—,4,60343,80,6,95313,120
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,600,11
—,—,—,—,—,—,—,—,—,45,39600,93,180,22361,260,273,112961,500
30,102197,108,46,36178,132,76,556409,192,93,143800,241,352,768677,1016,767,2311966,2473
