# Таблица 52 (Изображение 101): Естественное движение населения (правая часть)
Незаконнорожденныхъ: Муж.,Незаконнорожденныхъ: Жен.,Незаконнорожденныхъ: Обоего пола,ВСЕГО: Муж.,ВСЕГО: Жен.,ВСЕГО: Обоего пола,Число умершихъ: Муж.,Число умершихъ: Жен.,Число умершихъ: Обоего пола,Прибыль (+) или убыль (-),Число браковъ
117,107,224,766,703,1469,783,639,1422,+47,271
29,33,62,191,194,385,305,146,451,-66,66
41,23,64,214,171,385,157,108,265,+120,44
9,8,17,118,106,224,119,71,190,+34,34
25,19,44,252,216,468,199,158,357,+111,67
1,2,3,23,34,57,18,15,33,+24,14
222,192,414,1564,1424,2988,1581,1137,2718,+270,496
116,95,211,1886,1807,3693,1776,1568,3344,+349,610
107,144,251,1430,1387,2817,1006,901,1907,+910,436
220,190,410,3460,3360,6820,2189,1920,4109,+2711,1159
217,222,439,3753,3532,7285,2283,1952,4235,+3050,1088
765,720,1485,6375,6009,12384,4010,3786,7796,+4588,1381
34,28,62,224,188,412,64,49,113,+299,55
Свѣдѣній,не,доставлено,————,————,————,————,————,————,————,————
1459,1399,2858,17128,16283,33411,11328,10176,21504,+11907,4729
1681,1591,3272,18692,17707,36399,12909,11313,24222,+12177,5225
