# Таблица 56 (Изображение 85 / input_file_23.png): Недоимка окладных сборов за 1901 год (Часть 2 Правая)
Поступило: Недоимокъ,Поступило: Оклада,Зачтено: Недоимокъ,Зачтено: Оклада,Исключено: Недоимокъ,Исключено: Оклада,ВСЕГО поступило/зачтено,Будущ. лѣтъ: Недоимокъ,Будущ. лѣтъ: Оклада,Осталось: ВСЕГО,Осталось: Отсрочен.,Осталось: Срочныхъ,Всего по казн. своей губ.
54127-36,250549-11,————,433-69,————,————,305210-16,————,1049-1,107971-16,————,107971-16,————
90-19,116-44,————,9-40,————,————,216-3,————,3-75,————,————,335-25,————
569-63,1074-56,————,————,————,————,1644-19,————,22-73,4147-49,————,4147-49,————
54787-18,251740-11,————,443-9,————,————,307070-38,————,1075-49,112453-90,————,112453-90,————
3928-82,8727-48 1/2,————,52-31,————,————,12708-61 1/2,————,34-11 1/2,38462-32 1/2,————,38462-32 1/2,————
1302-65,7679-25,————,117-97,————,————,9099-87,————,16-70,9609-74 1/2,————,9609-74 1/2,————
5231-47,16406-73 1/2,————,170-28,————,————,21808-48 1/2,————,50-81 1/2,48072-7 1/2,————,48072-7 1/2,————
537-75,564-91,————,60-30,————,————,1162-99,————,18-71,765-88,————,765-88,————
————,8297-14,————,————,————,143-15,8440-29,————,12-3,769-28,————,769-28,————
————,64-94,————,————,————,1-47,66-41,————,————,71-43,————,71-43,————
————,250-25,————,————,————,————,250-25,————,————,42-,————,42-,————
————,8612-33,————,————,————,144-62,8756-95,————,12-3,882-71,————,882-71,————
369-75,————,————,————,————,————,369-75,————,————,2720-38 3/4,————,2720-38 3/4,————
595-69,————,————,————,————,————,595-69,————,————,17996-11,————,17996-11,————
7-60,————,————,————,————,————,7-60,————,————,70-72 1/4,————,70-72 1/4,————
23-56,————,————,————,————,————,23-56,————,————,410-18 1/2,————,410-18 1/2,————
————,————,————,————,————,————,————,————,————,66-8 1/4,————,66-8 1/4,————
1727-5,————,14-93 3/4,————,————,————,1741-98 3/4,————,————,15453-1/4,————,15453-1/4,————
58090-16,240488-30,————,409-11 1/2,————,————,298987-57 1/2,————,860-41 1/2,44015-38 1/4,————,44015-38 1/4,————
1231-95,1934-16,————,————,————,————,3166-11,————,————,1584-95,————,1584-95,————
4255-53,8502-92,————,46-15,————,————,12804-70,————,710-55 1/2,10508-32 1/2,————,10508-32 1/2,————
1452-25,7482-91,————,76-67,————,————,9011-84,————,80-70,8530-48 3/4,————,8530-48 3/4,————
67755-55,258408-29,14-93 3/4,511-93 1/2,————,————,326708-81,————,1651-67,101405-64 1/4,————,101405-64 1/4,————
