# Таблица 59 (Изображение 88 / input_file_26.png): Судебная статистика преступлений (Часть 1 Левая)
Наименованіе преступленій,Число преступленій,Число осужденныхъ: М.,Число осужденныхъ: Ж.,Дворянъ потомственныхъ: М.,Дворянъ потомственныхъ: Ж.,Дворянъ личныхъ: М.,Дворянъ личныхъ: Ж.,Почетныхъ гражданъ и купцовъ: М.,Почетныхъ гражданъ и купцовъ: Ж.,Духовнаго званія: М.,Духовнаго званія: Ж.,Мѣщанъ: М.,Мѣщанъ: Ж.,Крестьянъ: М.,Крестьянъ: Ж.
"По Уложенію о наказаніяхъ:",,,,,,,,,,,,,,,
О преступленіяхъ противъ вѣры и постановленій церкви 176–218 ст.,5,3,1,—,—,—,—,—,—,—,—,—,—,3,1
О святотатствѣ 219–255,3,2,—,—,—,—,—,—,—,—,—,1,—,1,—
О сопротивленіи распоряженіямъ Правительства... 262–275,20,13,1,—,—,—,—,—,—,—,—,1,—,10,1
Объ оскорбленіи присутственныхъ мѣстъ и чиновниковъ 276–288,81,67,7,—,—,1,—,3,—,1,—,16,2,31,5
О самовольномъ присвоеніи власти 289–302,20,16,—,—,—,—,—,—,—,—,—,—,—,7,—
О похищеніи бумагъ или вещей... 303–307,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
О взломѣ тюремъ уводѣ и убѣгѣ... 308–317,4,4,—,—,—,—,—,—,—,—,—,—,—,3,—
О преступленіяхъ по службѣ... 329–505,101,83,—,—,—,5,—,—,—,—,—,6,—,66,—
Объ уклоненіи отъ воинской повинности 506–547,45,39,—,1,—,2,—,1,—,—,—,1,—,17,—
О нарушеніи уставовъ монетныхъ 556–578,32,17,2,—,—,—,—,—,—,—,—,3,—,10,2
О нарушеніи постановленій о гербовомъ сборѣ 579–591,1,1,—,—,—,—,—,—,—,—,—,—,—,1,—
О нарушеніи уставовъ горныхъ 591–622,2,2,—,—,—,—,—,—,—,—,—,—,—,2,—
О нарушеніи постановленій о питейномъ сборѣ... 665 ст.,136,97,30,—,—,—,—,—,—,—,—,27,7,59,19
О нарушеніи уставовъ врачебныхъ 875–900,1,1,—,—,—,—,—,—,—,—,—,—,—,1,—
О возбужденіи къ начатію... 939–946,1,1,—,—,—,—,—,—,—,—,—,—,—,1,—
О бродяжничествѣ 950–974,28,14,—,—,—,—,—,—,—,—,—,1,—,6,—
О составленіи подложныхъ видовъ... 975–977,36,30,—,—,—,—,—,—,—,—,—,—,—,14,—
