# Таблица 60 (Изображение 89 / input_file_27.png): Судебная статистика преступлений (Часть 1 Правая)
Водворяем. рабочихъ: М.,Водворяем. рабочихъ: Ж.,Военныхъ: М.,Военныхъ: Ж.,Инородцевъ: М.,Инородцевъ: Ж.,Иностран. подданныхъ: М.,Иностран. подданныхъ: Ж.,Поселенцевъ: М.,Поселенцевъ: Ж.,Ссыльно-каторжныхъ: М.,Ссыльно-каторжныхъ: Ж.,Ниже 17 лѣтъ: М.,Ниже 17 лѣтъ: Ж.,17-20: М.,17-20: Ж.,21-30: М.,21-30: Ж.,31-40: М.,31-40: Ж.,41-50: М.,41-50: Ж.,51-60: М.,51-60: Ж.,Свыше 60 лѣтъ: М.,Свыше 60 лѣтъ: Ж.
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,1,1,1,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,1,—,—,—,—,—
—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,3,—,7,—,1,1,2,—,—,—
—,—,1,—,—,—,—,—,14,—,—,—,—,—,2,—,21,3,22,1,12,3,7,—,3,—
—,—,—,—,—,—,—,—,9,—,—,—,—,—,—,—,3,—,5,—,6,—,—,—,2,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,————,————,————,————,————,————,————,————,————,————
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,————,————,————,————,————,————,————,————,————,————
1,—,1,—,—,—,—,—,5,—,—,—,—,—,—,—,————,————,1,—,3,—,————,————,————,————
—,—,17,—,2,—,—,—,4,—,—,—,—,—,1,—,18,—,35,—,19,—,7,—,3,—
—,—,—,—,—,—,—,—,4,—,—,—,2,1,4,—,5,1,6,—,————,————,————,————,————,————
—,—,—,—,—,—,—,—,—,—,—,—,————,————,————,————,1,—,————,————,————,————,————,————,————,————
—,—,—,—,3,2,—,—,8,2,—,—,————,————,————,————,19,14,36,6,28,4,7,3,7,3
—,—,—,—,————,————,————,————,1,—,————,————,————,————,————,————,————,————,————,————,————,————,————,————,1,————,————
—,—,—,—,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,1,————,————,————,————,————
1,—,————,————,————,————,1,—,5,————,————,————,————,————,————,————,——,————,——,————,——,————,——
—,—,—,—,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——
1,—,————,————,————,————,1,—,15,————,————,————,2,————,4,————,11,————,7,————,5,————,1,————
