Наименованіе преступленій,Число преступленій,Число осужденныхъ: М.,Число осужденныхъ: Ж.,Дворянъ потомственныхъ: М.,Дворянъ потомственныхъ: Ж.,Дворянъ личныхъ: М.,Дворянъ личныхъ: Ж.,Почетныхъ гражданъ и купцовъ: М.,Почетныхъ гражданъ и купцовъ: Ж.,Духовнаго званія: М.,Духовнаго званія: Ж.,Мѣщанъ: М.,Мѣщанъ: Ж.,Крестьянъ: М.,Крестьянъ: Ж.
"По Мировому уставу:",,,,,,,,,,,,,,,
О преступленіяхъ противъ порядка управленія 29–34,845,745,103,2,2,—,6,13,1,—,—,127,22,544,71
О нарушеніи порядка и спокойствія 37–51,574,558,104,8,1,4,2,6,1,—,—,196,36,246,63
О проступкахъ противъ общественнаго благоустройства 52–57,140,44,5,1,—,—,—,1,—,—,—,8,3,31,1
О нарушеніи устава о паспортахъ 58–64,481,378,27,—,—,1,—,————,——,————,——,15,2,120,18
О нарушеніи устава строительнаго 65–87,240,217,20,—,—,3,—,1,—,—,—,58,8,116,10
О нарушеніи правилъ осторожности отъ пожаровъ 88–98,263,221,11,1,—,—,—,————,——,1,—,7,2,192,9
О нарушеніи уставовъ почтоваго и телеграфнаго 99–101,5,4,—,—,—,—,—,————,——,————,——,————,——,4,—
О проступкахъ противъ народнаго здравія 102–116,61,55,12,—,—,—,—,————,——,————,——,17,3,30,8
О порядкахъ противъ личной безопасности 117–129,153,119,17,1,—,1,2,3,1,—,—,39,4,58,9
Объ оскорбленіи чести 130–138,494,385,114,2,1,14,2,5,3,1,2,174,48,157,43
Объ угрозахъ и насиліи 139–142,348,258,36,3,—,2,—,5,3,—,—,77,21,128,8
О самовольномъ пользованіи чужимъ имуществомъ... 145–153,65,62,7,————,——,————,——,————,——,————,——,9,1,47,5
О похищеніи и поврежденіи чужого лѣса 154–168,391,321,11,————,——,1,—,————,——,————,——,18,—,271,10
О кражѣ 169–172,1041,779,110,————,——,————,——,1,—,————,——,73,20,474,65
О мошенничествѣ... 173–181,246,168,23,1,—,2,—,1,—,————,——,43,12,98,10
Итого по мировому уставу,5347,4314,600,19,4,28,12,36,9,2,2,861,182,2516,330
О побѣгахъ ссыльнопоселенцевъ въ Сибири ст. 445 Уст. о ссыльн.,12,12,—,————,——,————,——,————,——,————,——,————,——,————,——
ВСЕГО,6450,5259,706,20,4,38,12,47,11,5,2,971,199,3089,405
