Водворяем. рабочихъ: М.,Водворяем. рабочихъ: Ж.,Военныхъ: М.,Военныхъ: Ж.,Инородцевъ: М.,Инородцевъ: Ж.,Иностран. подданныхъ: М.,Иностран. подданныхъ: Ж.,Поселенцевъ: М.,Поселенцевъ: Ж.,Ссыльно-каторжныхъ: М.,Ссыльно-каторжныхъ: Ж.,Ниже 17 лѣтъ: М.,Ниже 17 лѣтъ: Ж.,17-20: М.,17-20: Ж.,21-30: М.,21-30: Ж.,31-40: М.,31-40: Ж.,41-50: М.,41-50: Ж.,51-60: М.,51-60: Ж.,Свыше 60 лѣтъ: М.,Свыше 60 лѣтъ: Ж.
2,—,1,—,12,—,1,—,43,1,————,————,4,1,55,15,221,28,235,23,150,23,55,6,25,7
1,—,9,—,5,—,————,————,83,1,————,————,6,—,65,6,224,53,172,31,47,9,41,3,3,2
————,————,1,————,1,————,————,————,1,1,————,————,————,————,8,2,15,1,6,1,9,————,6,1
————,————,————,————,————,————,————,————,242,7,————,————,————,————,2,2,50,9,160,4,80,10,60,2,26,————
————,————,1,1,1,————,————,————,37,1,————,————,————,————,36,5,117,12,50,3,13,————,1,————
————,————,————,————,2,————,————,————,18,————,————,————,8,2,4,2,86,2,78,2,27,3,12,————,6,————
————,————,————,————,————,————,————,————,————,————,————,————,2,————,————,————,1,————,————,————,————,————,————,————,1,————
————,————,1,————,————,————,1,————,6,1,————,————,3,————,3,1,11,3,17,5,10,1,6,————,5,2
————,————,————,————,1,————,————,————,15,1,————,————,3,————,7,2,39,3,36,6,22,3,6,1,6,2
————,————,3,————,————,————,————,————,29,15,————,————,9,3,17,10,152,39,116,51,60,9,23,1,8,1
————,————,2,————,————,1,————,————,41,3,————,————,2,————,19,3,96,15,93,11,32,6,13,1,3,————
————,————,————,————,————,————,————,————,6,1,————,————,————,————,2,1,19,2,24,2,10,1,4,1,3,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,10,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,——,————,——,————,——,————,——
—,—,—,—,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——,————,——
1,————,————,————,————,————,————,————,————,————,————,————,8,————,21,3,74,————,107,7,52,1,45,————,14,————
————,————,1,1,22,3,————,————,208,18,————,————,18,7,74,21,272,35,225,20,112,23,58,2,20,2
————,————,————,————,1,————,————,————,22,1,————,————,1,1,8,3,43,7,64,7,35,4,11,1,6,————
3,————,20,2,55,4,3,3,771,52,————,————,64,14,277,69,1331,203,1460,182,693,97,356,18,133,17
————,————,————,————,————,————,————,————,12,————,————,————,————,————,1,————,9,————,1,————,1,————,————,————,————,————
6,————,39,2,64,10,5,3,974,58,1,————,70,16,342,80,1619,246,1753,209,897,111,419,23,159,21
