ГОРОДА И УЪЗДЫ,Въ зимніе мѣсяцы: Число пожаровъ,Въ зимніе мѣсяцы: Число погорѣвшихъ дворовъ,Въ зимніе мѣсяцы: Сумма убытковъ,Въ весенніе мѣсяцы: Число пожаровъ,Въ весенніе мѣсяцы: Число погорѣвшихъ дворовъ,Въ весенніе мѣсяцы: Сумма убытковъ
Въ г. Красноярскѣ,16,2,10645,14,3,13340
уѣздѣ его,38,30,1737,13,14,1216
г. Енисейскѣ,3,————,————,1,4,15000
уѣздѣ его,25,8,2298,19,8,930
г. Канскѣ,————,————,————,2,1,106
уѣздѣ его,50,34,4731-30,37,42,10311-35
г. Ачинскѣ,————,————,————,————,————,————
уѣздѣ его,16,17,771,7,7,585
г. Минусинскѣ,1,1,600,————,————,————
уѣздѣ его,22,23,786,23,24,1222
Усинскомъ пограничномъ округѣ,2,2,54,————,————,————
Туруханскомъ краѣ,————,————,————,————,————,————
Итого,173,117,21622-30,116,103,42710-35
