Въ лѣтніе мѣсяцы: Число пожаровъ,Въ лѣтніе мѣсяцы: Число погорѣвшихъ дворовъ,Въ лѣтніе мѣсяцы: Сумма убытковъ,Въ осенніе мѣсяцы: Число пожаровъ,Въ осенніе мѣсяцы: Число погорѣвшихъ дворовъ,Въ осенніе мѣсяцы: Сумма убытковъ,Всего въ годъ: Число пожаровъ,Всего въ годъ: Число погорѣвшихъ дворовъ,Всего въ годъ: Сумма убытковъ,Причина пожаровъ: Отъ дурнаго устройства печей,Причина пожаровъ: Отъ неосторожности,Причина пожаровъ: Отъ поджога,Причина пожаровъ: Отъ другихъ причинъ
5,————,830,8,4,2025,43,9,26840,10,15,6,12
19,12,4293,22,18,1996,92,74,9242,13,20,17,42
3,2,3000,3,————,30,10,6,18030,4,4,————,2
15,1,639,13,5,502,72,22,4369,4,48,1,19
————,————,————,————,————,————,2,1,106,————,————,2,————
42,39,3128,36,34,4289-55,165,149,22460-20,12,44,38,71
1,1,40,3,6,2141,4,7,2181,————,————,————,4
14,15,3520,22,22,1535,59,61,6411,4,8,1,46
2,2,650,1,1,75,4,4,1325,————,————,————,4
36,63,32655,16,19,950,97,129,35613,13,18,6,60
————,————,————,3,3,500,5,5,554,————,5,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————
137,135,48755,127,112,14043-55,553,467,127131-20,60,162,71,260
