ГОРОДА И УЪЗДЫ,Число случаевъ смертоубійства: Дѣтоубійство новорожденныхъ,Число случаевъ смертоубійства: Смертоубійство,Число случаевъ смертоубійства: Итого,Жертвы смертоубійства: Дѣтоубійство (М.),Жертвы смертоубійства: Дѣтоубійство (Ж.),Жертвы смертоубійства: Смертоубійство (М.),Жертвы смертоубійства: Смертоубійство (Ж.),Жертвы смертоубійства: Итого (М.),Жертвы смертоубійства: Итого (Ж.),Самоубійство (М.),Самоубійство (Ж.),Скоропостижно умершіе: Отъ болѣзни (М.),Скоропостижно умершіе: Отъ болѣзни (Ж.),Скоропостижно умершіе: Отъ пьянства (М.),Скоропостижно умершіе: Отъ пьянства (Ж.),Скоропостижно умершіе: Отъ неизвѣстн. прич. (М.),Скоропостижно умершіе: Отъ неизвѣстн. прич. (Ж.),Скоропостижно умершіе: Итого (М.),Скоропостижно умершіе: Итого (Ж.)
Въ г. Красноярскѣ,————,28,28,————,————,20,8,20,8,5,2,————,————,————,————,————,————,————,————
уѣздѣ онаго,1,21,22,————,1,16,5,16,6,4,2,5,1,2,————,9,————,16,1
г. Енисейскѣ,————,1,1,————,————,1,————,1,————,2,————,————,————,————,————,————,————,————,————
уѣздѣ онаго,————,6,6,————,————,4,2,4,2,1,1,2,1,1,1,5,————,8,2
г. Канскѣ,————,3,3,————,————,3,————,3,————,1,————,————,————,————,————,————,————,————,————
уѣздѣ онаго,————,19,19,————,————,16,3,16,3,4,————,————,————,2,1,————,————,2,1
г. Ачинскѣ,1,7,8,1,————,6,1,7,1,2,————,————,————,1,————,1,————,2,————
уѣздѣ онаго,1,21,22,1,————,18,3,19,3,1,2,10,2,4,————,12,1,26,3
г. Минусинскѣ,————,1,1,————,————,1,————,1,————,2,————,————,————,————,————,5,1,5,1
уѣздѣ онаго,3,12,15,3,————,11,1,14,1,6,2,9,————,4,1,13,5,26,6
г. Туруханскѣ и Туруханскомъ краѣ,————,————,————,————,————,————,————,————,————,————,————,————,————,1,————,1,1,2,1
Усинскомъ погр. округѣ,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————,3,————,3,————
На частныхъ золотыхъ промыслахъ,————,12,12,————,————,9,3,9,3,1,1,5,1,1,1,7,————,13,2
Итого,6,131,137,5,1,105,26,110,27,29,10,31,5,16,4,56,8,103,17
