Найденныя мертвыя тѣла (М.),Найденныя мертвыя тѣла (Ж.),Жертвы случайной смерти: Убито громомъ (М.),Жертвы случайной смерти: Убито громомъ (Ж.),Жертвы случайной смерти: Задавлено и упало (М.),Жертвы случайной смерти: Задавлено и упало (Ж.),Жертвы случайной смерти: Сгорѣло и убито на пожарахъ (М.),Жертвы случайной смерти: Сгорѣло и убито на пожарахъ (Ж.),Жертвы случайной смерти: Умерло отъ угара (М.),Жертвы случайной смерти: Умерло отъ угара (Ж.),Жертвы случайной смерти: Замерзло (М.),Жертвы случайной смерти: Замерзло (Ж.),Жертвы случайной смерти: Утонуло (М.),Жертвы случайной смерти: Утонуло (Ж.),Жертвы случайной смерти: Укушено до смерти звѣрьми (М.),Жертвы случайной смерти: Укушено до смерти звѣрьми (Ж.),Жертвы случайной смерти: Умерло отъ др. случайностей (М.),Жертвы случайной смерти: Умерло отъ др. случайностей (Ж.),Жертвы случайной смерти: Итого (М.),Жертвы случайной смерти: Итого (Ж.),Всего умерло отъ насильственной смерти и случайностей (М.),Всего умерло отъ насильственной смерти и случайностей (Ж.)
————,————,————,————,————,————,————,————,1,————,2,————,3,————,————,————,26,5,32,5,57,15
8,————,1,————,2,————,1,————,————,————,2,————,7,1,1,————,3,————,15,1,59,10
————,————,————,————,1,————,————,————,————,————,————,————,————,————,————,————,5,————,6,————,9,————
3,————,————,————,2,————,1,————,————,————,————,————,5,1,————,————,8,————,16,1,32,6
1,————,————,————,————,————,————,————,————,————,1,————,————,————,————,————,5,————,6,————,11,————
10,3,————,————,3,————,2,————,1,1,3,1,6,4,————,————,2,————,17,6,49,13
————,————,————,————,————,————,————,————,1,————,————,————,————,————,————,————,1,2,2,2,13,3
7,1,————,————,1,————,————,————,1,————,2,————,12,7,————,————,12,————,28,7,81,16
————,————,————,————,————,————,————,————,————,————,————,1,2,————,————,————,————,————,2,1,10,2
6,————,————,————,7,————,1,1,2,————,1,————,13,1,————,————,15,7,39,9,91,18
————,————,————,————,————,————,————,————,————,————,————,————,————,2,————,————,————,————,————,2,2,3
————,————,————,————,1,————,2,————,————,————,————,————,————,2,————,————,————,————,3,2,6,2
————,————,————,————,9,————,————,————,————,————,2,————,3,1,1,————,1,————,16,1,39,7
35,4,1,————,26,————,7,1,6,1,11,2,51,19,2,————,78,14,182,37,459,95
