НАЗВАНІЕ УЧЕБНЫХЪ ЗАВЕДЕНІЙ,Въ губернскомъ городѣ: Число учебныхъ заведеній,Въ губернскомъ городѣ: Число учащихся: Муж.,Въ губернскомъ городѣ: Число учащихся: Жен.
Мужская классическая гимназія,1,320,————
" шестиклассная прогимназія,————,————,————
Женская гимназія,1,————,438
" прогимназія,————,————,————
Учительская семинарія,1,67,————
При ней начальная школа,1,51,————
Духовная семинарія,1,100,————
Техническое желѣзнодорожное училище,————,81,————
Лѣсная школа,1,————,————
Городскія 3-хъ классныя училища,1,200,————
" 2-хъ классныя,————,————,————
Городскія приходскія училища,————,————,————
Начальныя 2-хъ классныя училища,2,318,87
" одноклассныя,10,403,134
Духовное училище,1,152,————
Епархіальное женское училище,1,————,102
Начальное женское училище,1,————,50
Владимірскій дѣтскій пріютъ,1,————,46
Щеголевское ремесленное 2-хъ классное училище,1,64,————
Сельскія приходскія одноклассныя училища,————,————,————
Желѣзнодорожныя сельскія училища,————,————,————
Церковно-приходскія школы,————,————,————
Школы грамотности,Свѣ,дѣній,недо
Пріютъ арестантскихъ дѣтей,1,15,4
Александровскій домъ призрѣнія бѣдныхъ дѣтей,————,————,————
Училище при сиропитательномъ домѣ Щеголевой,1,————,9
Частные школы,1,————,19
Еврейское училище,————,————,————
ИТОГО,27,1771,889
