Въ уѣздныхъ городахъ: Число учебныхъ заведеній,Въ уѣздныхъ городахъ: Число учащихся: Муж.,Въ уѣздныхъ городахъ: Число учащихся: Жен.,Въ уѣздахъ: Число учебныхъ заведеній,Въ уѣздахъ: Число учащихся: Муж.,Въ уѣздахъ: Число учащихся: Жен.,Всего въ губерніи: Число учебныхъ заведеній,Всего въ губерніи: Число учащихся: Муж.,Всего въ губерніи: Число учащихся: Жен.,Всего въ губерніи: Число учащихся: Обоего пола
————,————,————,————,————,————,1,320,————,320
1,111,————,————,————,————,1,111,————,111
1,————,157,————,————,————,2,————,595,595
2,————,316,————,————,————,2,————,316,316
————,————,————,————,————,————,1,67,————,67
————,————,————,————,————,————,1,51,————,51
————,————,————,————,————,————,1,100,————,100
————,————,————,————,————,————,1,81,————,81
————,————,————,1,20,————,1,20,————,20
3,453,————,————,————,————,4,653,————,653
1,130,————,————,————,————,1,130,————,130
5,204,8,————,————,————,5,204,8,212
1,46,150,2,130,24,5,494,261,755
11,466,354,16,430,222,37,1299,710,2009
————,————,————,————,————,————,1,152,————,152
————,————,————,————,————,————,1,————,102,102
2,————,164,————,————,————,3,————,214,214
————,————,————,————,————,————,1,————,46,46
————,————,————,————,————,————,1,64,————,64
————,————,————,98,2020,1211,98,2020,1211,3231
————,————,————,2,32,84,2,32,84,116
————,————,————,196,4162,2238,196,4162,2238,6400
став,ле,но,————,————,————,————,————,————,————
————,————,————,————,————,————,1,15,4,19
1,22,————,————,————,————,1,22,————,22
————,————,————,————,————,————,1,————,9,9
2,14,37,————,————,————,3,14,56,70
1,22,————,————,————,————,1,22,————,22
31,1468,1186,315,6794,3779,373,10033,5854,15887
