НАИМЕНОВАНІЕ сословій,Губернскій городъ Красноярскъ: М.,Губернскій городъ Красноярскъ: Ж.,Уѣздъ Красноярскій: М.,Уѣздъ Красноярскій: Ж.,Окружной городъ Енисейскъ: М.,Окружной городъ Енисейскъ: Ж.,Уѣздъ Енисейскій: М.,Уѣздъ Енисейскій: Ж.,Окружной городъ Канскъ: М.,Окружной городъ Канскъ: Ж.,Уѣздъ Канскій: М.,Уѣздъ Канскій: Ж.
I. Дворянъ: Потомственныхъ,232,159,59,51,55,44,11,17,6,8,73,75
I. Дворянъ: Личныхъ,820,740,18,24,27,20,19,22,6,4,32,26,29,37,20,23,45,32
II. Духовенства православнаго: а) монашествующаго,40,—,28,36,11,48,—,—,—,—,—,—,—,—,—,—
II. Духовенства православнаго: б) бѣлаго,61,—,85,—,18,—,27,—,4,—,44,—,6,—,39,—
Другихъ исповѣданій,4,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—
Церковнослужителей и семействъ духовенства,67,61,58,256,29,30,54,97,3,7,96,137,6,13,130,138
Воспитанниковъ духовнаго училища,260,76,—,—,—,—,—,—,—,—,—,—,—,—,—,—
III. Городскихъ сословій: Почетныхъ гражданъ потомств.,45,65,4,5,32,44,14,15,24,18,5,10
III. Городскихъ сословій: Почетныхъ гражданъ личныхъ,88,163,3,5,28,46,5,1,25,28,—,—
III. Городскихъ сословій: Купцовъ,152,195,2,2,58,60,6,7,51,47,24,19
III. Городскихъ сословій: Мѣщанъ,7270,7009,318,310,2418,2356,320,296,3047,2602,304,26*
IV. Сельскихъ сословій: Крестьянъ,5184,4050,27974,27870,1649,1943,21278,21493,509,441,50635,482*
V. Военныхъ: Регулярныхъ войскъ,1194,————,————,————,132,————,————,————,142,————,————,————
V. Военныхъ: Иррегулярныхъ войскъ,177,————,73,————,66,————,14,————,————,————,84,————
V. Военныхъ: Находящихся въ продолжительномъ отпуску,————,————,————,————,————,————,————,————,————,————,4,————
V. Военныхъ: Состоящихъ въ запасѣ арміи,260,————,1187,————,98,————,670,————,34,————,2227,————
V. Военныхъ: Отставныхъ нижнихъ чиновъ...,200,220,625,1125,48,238,225,334,82,100,939,178
