НАИМЕНОВАНІЕ сословій,Енисейскаго округа Сѣверной СИСТЕМЪ: М.,Енисейскаго округа Сѣверной СИСТЕМЪ: Ж.,Енисейскаго округа Южной СИСТЕМЪ: М.,Енисейскаго округа Южной СИСТЕМЪ: Ж.,Красноярскаго округа: М.,Красноярскаго округа: Ж.,Канскаго округа: М.,Канскаго округа: Ж.
I. Дворянъ: Потомственныхъ,13,4,7,5,————,————,1,————
I. Дворянъ: Личныхъ,————,————,6,————,————,————,3,4
II. Духовенства православнаго: а) монашествующаго,————,————,————,————,————,————,————,————
II. Духовенства православнаго: б) бѣлаго,2,————,1,————,————,————,————,————
Другихъ исповѣданій,————,————,————,————,————,————,————,————
Церковнослужителей и семействъ духовенства,————,————,————,————,————,————,————,————
Воспитанниковъ духовнаго училища,————,————,————,————,————,————,————,————
III. Городскихъ сословій: Почетныхъ гражданъ потомств.,15,6,9,3,————,————,————,————
III. Городскихъ сословій: Почетныхъ гражданъ личныхъ,————,————,4,1,————,————,————,————
III. Городскихъ сословій: Купцовъ,4,2,1,1,————,————,————,————
III. Городскихъ сословій: Мѣщанъ,103,12,468,101,13,5,20,2
IV. Сельскихъ сословій: Крестьянъ,1458,373,2677,723,55,28,251,99
V. Военныхъ: Регулярныхъ войскъ,————,————,————,————,————,————,————,————
V. Военныхъ: Иррегулярныхъ войскъ,28,————,25,————,2,————,10,————
V. Военныхъ: Находящихся въ продолжительномъ отпуску,————,————,————,————,————,————,————,————
V. Военныхъ: Состоящихъ въ запасѣ арміи,98,————,75,————,1,————,14,————
V. Военныхъ: Отставныхъ нижнихъ чиновъ...,————,————,————,4,————,————,3,2
