Ачинскаго округа: М.,Ачинскаго округа: Ж.,Минусинскаго округа: М.,Минусинскаго округа: Ж.,Усинскій пограничный округъ: М.,Усинскій пограничный округъ: Ж.,Итого въ городахъ: М.,Итого въ городахъ: Ж.,Итого въ округахъ и уѣздахъ: М.,Итого въ округахъ и уѣздахъ: Ж.,Всего въ губерніи: М.,Всего въ губерніи: Ж.
1,1,9,6,————,————,337,245,239,220,576,465
————,————,————,————,————,————,882,801,147,139,1029,940
————,————,————,————,————,————,51,48,33,36,84,84
————,————,————,————,————,————,97,————,331,————,428,————
————,————,————,————,————,————,5,————,4,————,9,————
————,————,————,————,————,————,120,125,455,915,575,1040
————,————,————,————,————,————,260,76,————,————,260,76
————,————,3,3,————,————,124,144,67,56,191,200
1,————,1,————,————,————,177,284,59,60,236,344
2,4,1,2,————,————,377,418,83,83,460,501
163,57,211,97,42,13,17142,16551,3121,2295,20263,18846
627,226,1210,624,174,99,7808,7048,227756,223165,235564,230213
————,————,————,————,————,————,1813,————,157,————,1970,————
11,————,39,————,2,————,288,————,1619,————,1907,————
————,————,————,————,————,————,————,————,284,————,284,————
————,————,————,————,13,————,490,————,8533,————,9023,————
————,————,————,————,————,————,379,733,4723,9598,5102,10331
