Въ 1901 году въ Енисейской губерніи открыто:,Въ городахъ,Въ селеніяхъ,Всего
Оптовыхъ складовъ вина съ разсрочкою акциизы,4,2,6
Оптовыхъ складовъ вина безъ разсрочки акцизы,12,31,43
Оптовыхъ складовъ пива и рус. виноградн. винъ,6,5,11
Ренсковыхъ погребовъ безъ роспивочной продажи,92,12,104
Ренсковыхъ погребовъ съ роспивочной продажей,—,4,4
Трактирныхъ заведеній,17,1,18
Постоянныхъ буфетовъ,18,17,35
Временныхъ буфетовъ съ благотворительной цѣлью,19,—,19
Погребовъ виноградныхъ винъ,2,9,11
Питейныхъ домовъ,118,420,538
Портерныхъ и пивныхъ лавокъ,49,7,56
ИТОГО,337,508,845
