НАИМЕНОВАНІЕ вѣроисповѣданій,Губернскій городъ Красноярскъ: М.,Губернскій городъ Красноярскъ: Ж.,Уѣздъ Красноярскій: М.,Уѣздъ Красноярскій: Ж.,Окружной городъ Енисейскъ: М.,Окружной городъ Енисейскъ: Ж.,Уѣздъ Енисейскій: М.,Уѣздъ Енисейскій: Ж.,Окружной городъ Канскъ: М.,Окружной городъ Канскъ: Ж.,Уѣздъ Канскій: М.,Уѣздъ Канскій: Ж.
Православнаго,19761,17000,45120,34187,4298,4451,29027,24054,3868,3191,63379,50881
Раскольниковъ разныхъ сектъ,42,29,45,49,5,————,9,3,————,————,259,229
Единовѣрческаго,17,31,————,————,42,6,————,————,8,8,————,————
Армяно-грегоріанскаго,51,39,————,————,3,1,3,————,2,————,2,1
Римско-католическаго,962,403,866,539,26,22,278,53,26,19,834,347
Лютеранскаго,137,88,34,18,————,————,14,————,1,————,594,600
Протестантскаго,34,48,————,————,19,6,————,————,————,————,3,1
Греко-Уніатскаго,————,————,————,————,————,————,1,————,————,————,————,————
Еврейскаго,463,321,237,220,128,142,206,77,202,171,437,367
Караимскаго,————,————,————,————,————,————,68,26,————,————,————,————
Магометанскаго,512,315,183,115,361,286,369,52,33,13,704,420
Далай-Ламайскаго,————,————,————,————,————,————,2,————,————,————,————,————
Идолопоклонниковъ,6,————,————,————,————,————,————,————,————,————,————,————
Шаманствующихъ,————,————,————,————,————,————,————,————,————,————,————,————
Итого,22025,18276,46485,35128,4882,4914,29977,24265,4132,3394,66220,52854
