Окружной городъ Ачинскъ: М.,Окружной городъ Ачинскъ: Ж.,Уѣздъ Ачинскій: М.,Уѣздъ Ачинскій: Ж.,Окружной городъ Минусинскъ: М.,Окружной городъ Минусинскъ: Ж.,Уѣздъ Минусинскій: М.,Уѣздъ Минусинскій: Ж.,Заштатный городъ Туруханскъ: М.,Заштатный городъ Туруханскъ: Ж.,Туруханскій край: М.,Туруханскій край: Ж.,Усинскій пограничный округъ: М.,Усинскій пограничный округъ: Ж.
3189,3166,60452,55160,2246,1956,94270,89407,89,79,5190,4394,755,604
10,8,484,505,87,73,4236,4204,————,————,4,————,656,630
————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,1,————,————,————,————,————,————,————,————,————
121,111,476,395,13,14,509,298,1,————,3,1,3,1
————,————,14,11,15,17,2363,2096,————,————,————,————,83,16
1,————,6,2,————,————,————,————,————,————,————,————,————,1
————,————,————,————,————,————,————,————,————,————,————,————,————,————
171,168,437,382,11,13,814,741,1,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————
130,166,462,402,14,19,254,239,————,————,3,————,5,1
————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,————,————,————,————
————,————,————,————,————,————,————,————,————,————,700,705,————,————
3622,3619,62331,56855,2357,2092,102447,96985,91,79,5897,5099,1502,1253
