НАИМЕНОВАНІЕ вѣроисповѣданій,Енисейскаго округа Сѣверной СИСТЕМЪ: М.,Енисейскаго округа Сѣверной СИСТЕМЪ: Ж.,Енисейскаго округа Южной СИСТЕМЪ: М.,Енисейскаго округа Южной СИСТЕМЪ: Ж.,Красноярскаго округа: М.,Красноярскаго округа: Ж.,Канскаго округа: М.,Канскаго округа: Ж.
Православнаго,2412,389,3909,911,71,33,391,113
Раскольниковъ разныхъ сектъ,4,1,————,————,————,————,————,————
Единовѣрческаго,————,————,————,————,————,————,————,————
Армяно-грегоріанскаго,————,————,————,————,————,————,————,————
Римско-католическаго,76,7,83,11,2,————,11,————
Лютеранскаго,2,————,————,————,1,————,4,1
Протестантскаго,2,————,6,————,————,————,————,————
Греко-Уніатскаго,————,————,————,————,————,————,————,————
Еврейскаго,12,9,27,2,————,————,14,2
Караимскаго,————,————,————,————,————,————,————,————
Магометанскаго,144,11,204,1,1,————,34,3
Далай-Ламайскаго,————,————,————,————,————,————,————,————
Идолопоклонниковъ,————,————,————,————,————,————,————,————
Шаманствующихъ,————,————,————,————,————,————,————,————
Итого,2652,417,4229,925,75,33,454,119
