"В каких местах","Оставалось дел, нерешенных к 1 января 1851 г.","Вновь поступило в течение года","Решено в течение года","Осталось к 1 января 1852 г. нерешенных: За сим местом","Осталось к 1 января 1852 г. нерешенных: За другими местами","Осталось к 1 января 1852 г. нерешенных: Итого"
"По Енисейскому Общему Губернскому управлению","1436","3036","3163","37","1272","1309"
"– Губернскому правлению","1632","5445","5751","91","1235","1326"
"– Казенной палате","1023","1856","1689","320","870","1190"
"– Губернскому суду","252","717","723","34","212","246"
"– Приказу общественного призрения","237","250","253","3","231","234"
"– Врачебной управе","56","183","199","12","28","40"
"– У Губернского Прокурора","38","207","213","–","32","32"
"ОКРУЖНЫХ СТРЯПЧИХ:","","","","","",""
"Красноярского","—","11","11","–","–","–"
"Енисейского","1","52","53","–","—","—"
"Канского","1","8","9","–","–","–"
"Минусинского","7","56","58","–","5","5"
"Ачинского","3","108","85","–","26","26"
"Губернского и окружных землемеров","198","111","65","61","183","244"
"Губернского архитектора и по Строительной Комиссии","161","92","105","10","138","148"
"В ОБЩИХ ОКРУЖНЫХ УПРАВЛЕНИЯХ:","","","","","",""
"Енисейском","36","184","182","17","21","38"
"Минусинском","104","334","301","—","137","137"
"В ГРАДСКИХ ПОЛИЦИЯХ И У ГОРОДНИЧИХ:","","","","","",""
"Красноярской","122","450","441","22","109","131"
"Енисейской","47","419","420","3","43","46"
"Канской","13","37","33","–","17","17"
"Минусинской","18","19","19","2","16","18"
"Ачинской","38","113","112","11","28","39"
"В ГРАДСКИХ ДУМАХ:","","","","","",""
"Красноярской","39","18","16","6","35","41"
"Енисейской","30","96","98","–","28","28"
"СИРОТСКИХ СУДАХ:","","","","","",""
"Красноярском","45","13","5","42","11","53"
"Енисейском","43","1","4","–","40","40"
"СЛОВЕСНЫХ СУДАХ:","","","","","",""
"Канском","–","–","–","–","–","–"
"Минусинском","–","–","–","–","–","–"
"Ачинской Ратуше","31","88","90","3","26","26"
"ОКРУЖНЫХ СУДАХ:","","","","","",""
"Красноярском","25","349","329","5","40","45"
"Енисейском","37","285","285","—","37","37"
"Канском","16","287","248","—","55","55"
"Минусинском","27","255","251","–","31","31"
"Ачинском","71","319","370","5","15","20"
"В ГОРОДОВЫХ СУДАХ:","","","","","",""
"Красноярском","54","123","136","–","41","41"
"Енисейском","30","126","130","2","24","26"
"В ЗЕМСКИХ СУДАХ:","","","","","",""
"Красноярском","189","406","451","–","144","144"
"Енисейском","92","423","429","–","86","86"
"Канском","415","440","410","162","283","445"
"Минусинском","170","339","329","4","176","480"
"Ачинском","199","552","626","2","123","125"
"В ОКРУЖНЫХ КАЗНАЧЕЙСТВАХ:","","","","","",""
"Красноярском","–","78","78","–","–","–"
"Енисейском","–","–","–","–","–","–"
"Канском","2","37","38","–","1","1"
"Минусинском","–","–","–","–","–","–"
"Ачинском","–","21","21","–","–","–"
"Итого","6938","17944","18229","854","5799","6653"
