Город/Округ,Законнорожденных,Незаконнорожденных,Всего родилось,Всего умерло,Прибыль/Убыль
г. Красноярск,770,175,945,914,31
г. Енисейск,312,75,387,501,-114
г. Канск,153,11,164,242,-78
г. Ачинск,209,12,221,301,-80
г. Минусинск,472,37,509,346,163
г. Туруханск,37,7,44,9,35
Красноярский окр.,3197,219,3416,2754,662
Енисейский окр.,2484,252,2736,2223,513
Канский окр.,3557,342,3899,3500,399
Ачинский окр.,4680,343,5023,3499,1524
Минусинский окр.,7892,1562,9454,4805,4649
Туруханский край,173,13,186,104,82
Усинский погр. окр.,69,7,76,15,61
