Округ,Товар,Зимою (р.к.),Весною (р.к.),Летом (р.к.),Осенью (р.к.)
Красноярский,Мука ржаная,0.31,0.35,0.35,0.35
Красноярский,Мука пшеничная,0.54,0.55,0.55,0.58
Красноярский,Овес,0.35,0.45,0.38,0.33
Енисейский,Мука ржаная,0.41,0.42,0.37,0.44
Енисейский,Мука пшеничная,0.70,0.70,0.55,0.60
Енисейский,Овес,0.40,0.40,0.40,0.40
Канский,Мука ржаная,0.20,0.20,0.20,0.20
Канский,Мука пшеничная,0.35,0.35,0.35,0.35
Канский,Овес,0.25,0.25,0.25,0.25
Ачинский,Мука ржаная,0.35,0.35,0.30,0.30
Ачинский,Мука пшеничная,0.65,0.70,0.60,0.60
Ачинский,Овес,0.40,0.45,0.35,0.40
Минусинский,Мука ржаная,0.23,0.25.5,0.25.5,0.28
Минусинский,Мука пшеничная,0.36,0.37,0.41,0.38
Минусинский,Овес,0.24,0.31,0.30,0.30.5
