Местоположение,Мужчин,Женщин,Обоего пола
г. Красноярск,12180,8390,20570
г. Енисейск,5057,4522,9579
г. Канск,3643,2757,6400
г. Ачинск,3223,3091,6314
г. Минусинск,2975,2604,5579
г. Туруханск,112,68,180
ИТОГО В ГОРОДАХ,27090,21432,48522
Красноярский округ,42373,30815,73188
Енисейский округ,36447,24221,60668
Канский округ,43822,29617,73439
Ачинский округ,47781,40337,88118
Минусинский округ,79002,70832,149834
Туруханский край,4799,4238,9037
Усинский округ,1290,901,2191
ИТОГО В ОКРУГАХ,255514,200961,456475
ВСЕГО В ГУБЕРНИИ,282604,222393,504997
